iter	Logloss
0	0.6280385789
1	0.5703855416
2	0.5255013071
3	0.4919909455
4	0.4641208261
5	0.4385642513
6	0.4204991066
7	0.4063916426
8	0.3914110883
9	0.3798201535
10	0.3712678836
11	0.3606233212
12	0.3523957391
13	0.3478232301
14	0.3427819871
15	0.3369811877
16	0.3323548518
17	0.3288955902
18	0.3251276181
19	0.3211012296
20	0.3181290089
21	0.3148655812
22	0.3128342265
23	0.3105118725
24	0.3088354467
25	0.307054275
26	0.3053758724
27	0.3035791775
28	0.3017439607
29	0.3000489985
30	0.2989018885
31	0.2976188966
32	0.2963470949
33	0.2942756059
34	0.2933584265
35	0.2922094469
36	0.291150161
37	0.2901423382
38	0.2892104566
39	0.2878509838
40	0.2868613555
41	0.2856684474
42	0.2841613821
43	0.2828251637
44	0.2818032143
45	0.2811010439
46	0.2804778331
47	0.2797328943
48	0.2792753331
49	0.278685415
50	0.2773781217
51	0.276912447
52	0.2759283731
53	0.2753011905
54	0.2747683042
55	0.2740999537
56	0.2735809773
57	0.2729561738
58	0.272340951
59	0.2718945757
60	0.2714153783
61	0.2706372961
62	0.2700904088
63	0.2695129523
64	0.2690863737
65	0.2685377639
66	0.2680212497
67	0.2677253375
68	0.2671410251
69	0.2667750944
70	0.266236082
71	0.2658740629
72	0.265506612
73	0.2648677193
74	0.2643965855
75	0.2640869845
76	0.2638373494
77	0.263549369
78	0.263227181
79	0.2628060234
80	0.2624444279
81	0.2620830111
82	0.2616880321
83	0.2610838714
84	0.2609405864
85	0.2606199581
86	0.2602500065
87	0.2599779166
88	0.2597108992
89	0.2593794758
90	0.2590519012
91	0.2587473881
92	0.2584269766
93	0.2581772845
94	0.2578883915
95	0.2574226265
96	0.2571597236
97	0.2569048245
98	0.2565541142
99	0.2563429919
100	0.2560263766
101	0.2556228533
102	0.2553921492
103	0.2550951243
104	0.254883613
105	0.25469472
106	0.2545018201
107	0.254105388
108	0.253738148
109	0.2534779463
110	0.2532479459
111	0.2529676899
112	0.2527438992
113	0.2524597691
114	0.2522776865
115	0.252095559
116	0.2517825417
117	0.2516368177
118	0.2514114369
119	0.2511389686
120	0.2506787918
121	0.2504689447
122	0.2503571108
123	0.2501623753
124	0.249778928
125	0.2495660481
126	0.249420118
127	0.2492872274
128	0.2489425038
129	0.2487426443
130	0.2485254042
131	0.2483035186
132	0.2481179431
133	0.2479158924
134	0.2477749726
135	0.2475316668
136	0.2473498707
137	0.2472285517
138	0.247075753
139	0.2469249505
140	0.2468053767
141	0.2467207356
142	0.2466165626
143	0.2464081298
144	0.2462131243
145	0.2457785501
146	0.2455970926
147	0.2454894595
148	0.2452816536
149	0.2450566475
150	0.244926657
151	0.2446477316
152	0.2445410196
153	0.2444351774
154	0.2441956036
155	0.2440417332
156	0.2437748755
157	0.243688047
158	0.2435120332
159	0.2434132647
160	0.2432341843
161	0.243053872
162	0.2428982327
163	0.2425403665
164	0.2423847398
165	0.2421933656
166	0.2420150851
167	0.2418316936
168	0.2416194571
169	0.2414968433
170	0.2413264157
171	0.2411821013
172	0.241021243
173	0.2407439756
174	0.2405505801
175	0.2403934102
176	0.2401368874
177	0.2398675457
178	0.2397669957
179	0.2396087905
180	0.2394208716
181	0.239285358
182	0.2391903983
183	0.2390197213
184	0.2387860468
185	0.2386426849
186	0.2384309815
187	0.2382487972
188	0.2379944047
189	0.2378291557
190	0.2377111877
191	0.2375038063
192	0.2373883365
193	0.2372901326
194	0.2371165319
195	0.2369583434
196	0.2367887192
197	0.2366309953
198	0.2365218046
199	0.2363924245
200	0.2362722443
201	0.236159024
202	0.2360223314
203	0.2358666114
204	0.235696704
205	0.2355740727
206	0.2353621197
207	0.2352480274
208	0.2351051474
209	0.2349499726
210	0.2346837471
211	0.2345421669
212	0.2344217782
213	0.2343377027
214	0.2341239303
215	0.2340024246
216	0.2337828266
217	0.2336904762
218	0.2336208959
219	0.2334517551
220	0.233289895
221	0.2331879373
222	0.2330946713
223	0.2329442647
224	0.2327421515
225	0.2326576151
226	0.232492722
227	0.2324091076
228	0.2323059897
229	0.2322256874
230	0.232129224
231	0.2320162215
232	0.2318135123
233	0.2317055052
234	0.2315695294
235	0.2313987139
236	0.2312313588
237	0.2311303815
238	0.2310112883
239	0.2308937516
240	0.2306294425
241	0.2304390983
242	0.2303162617
243	0.230159558
244	0.230035905
245	0.2299268347
246	0.2297940918
247	0.2296711982
248	0.2294960532
249	0.2293633234
250	0.2292465069
251	0.2291411676
252	0.2290478631
253	0.2289076316
254	0.22873486
255	0.2286186844
256	0.2284349982
257	0.228309543
258	0.2281968126
259	0.2280787871
260	0.2280135279
261	0.2278794873
262	0.2277807514
263	0.2276282759
264	0.2275472697
265	0.2273963028
266	0.2273245897
267	0.2271946563
268	0.2270965268
269	0.2270447752
270	0.2268902658
271	0.2268512769
272	0.226695663
273	0.2265608732
274	0.2264514771
275	0.2262929188
276	0.226121943
277	0.2259997817
278	0.2258947681
279	0.2257907587
280	0.22570613
281	0.2255895907
282	0.2254704562
283	0.2253328807
284	0.2251950424
285	0.2251412069
286	0.225015668
287	0.2248838662
288	0.224747407
289	0.2247034591
290	0.2245936621
291	0.2244915135
292	0.2244034614
293	0.2242802808
294	0.2241759853
295	0.2240243211
296	0.2239050485
297	0.2238754353
298	0.223773077
299	0.2236628395
300	0.2235714545
301	0.223487628
302	0.2233553098
303	0.2232433899
304	0.2231585357
305	0.2231321513
306	0.2230293975
307	0.2229251823
308	0.2228388452
309	0.2227289167
310	0.2226038586
311	0.2224677752
312	0.2223992103
313	0.2223382333
314	0.2222723053
315	0.2221834351
316	0.2221491227
317	0.2220370389
318	0.2219069055
319	0.2218246435
320	0.2217923876
321	0.221671774
322	0.2215737734
323	0.2214685719
324	0.2213768928
325	0.2213187351
326	0.2211786035
327	0.2210608861
328	0.2210091193
329	0.2209467419
330	0.2208160044
331	0.2207170281
332	0.2206434522
333	0.220538317
334	0.2204288684
335	0.2203562783
336	0.2202670093
337	0.220199552
338	0.2201140167
339	0.2200807464
340	0.2200526676
341	0.21999271
342	0.2198969594
343	0.2197723956
344	0.219671743
345	0.2195629371
346	0.2195133076
347	0.2194297087
348	0.2193392818
349	0.2192363867
350	0.2190989254
351	0.2190094928
352	0.218949784
353	0.2188726577
354	0.218786568
355	0.2186891827
356	0.2186117083
357	0.2185365253
358	0.218506259
359	0.2184224899
360	0.2183310684
361	0.2182522922
362	0.2181593585
363	0.2180655991
364	0.2179986722
365	0.2179354109
366	0.2178659688
367	0.2177839352
368	0.2176924716
369	0.2176251389
370	0.2175504302
371	0.2174920452
372	0.2174230394
373	0.2173335231
374	0.2173107058
375	0.2172508463
376	0.217164287
377	0.2171028927
378	0.21703244
379	0.2169491791
380	0.2169142916
381	0.216832095
382	0.2167649866
383	0.2167115707
384	0.2166262344
385	0.2165427948
386	0.2164952638
387	0.2163874657
388	0.2162789178
389	0.2162542844
390	0.2161815704
391	0.2160890831
392	0.2160141573
393	0.2159567574
394	0.215933209
395	0.2158743485
396	0.2157580226
397	0.2157048534
398	0.2156454528
399	0.215582581
400	0.2154919619
401	0.2154030705
402	0.2153240344
403	0.2153024567
404	0.2152024901
405	0.2151705404
406	0.2150950185
407	0.2149992652
408	0.2149050263
409	0.2148377867
410	0.214750452
411	0.2146771704
412	0.2145753443
413	0.2145033911
414	0.2143998449
415	0.2143494136
416	0.2142627375
417	0.2141775294
418	0.2141395654
419	0.2141034598
420	0.2140228639
421	0.2139765011
422	0.2139071593
423	0.2138245495
424	0.2137382365
425	0.2137103673
426	0.2136247009
427	0.213590034
428	0.2135331461
429	0.2134612456
430	0.2133914391
431	0.2132530793
432	0.2131813729
433	0.2130820066
434	0.2130075946
435	0.2128396153
436	0.212742946
437	0.2126790518
438	0.2126299873
439	0.2125293055
440	0.2124968375
441	0.2124134469
442	0.212350031
443	0.2123308799
444	0.2122523989
445	0.2121963929
446	0.2121358122
447	0.2120543025
448	0.212018348
449	0.2119672933
450	0.2118758339
451	0.2118440428
452	0.2117479169
453	0.2116677113
454	0.2115658795
455	0.2114935752
456	0.2114222954
457	0.2113493031
458	0.2112553104
459	0.2111913702
460	0.2110985486
461	0.2110153268
462	0.2109269711
463	0.210866473
464	0.2108123424
465	0.2107348788
466	0.2106853853
467	0.2106061219
468	0.2105524935
469	0.2105262824
470	0.2104499083
471	0.2103897013
472	0.2103224526
473	0.2102517209
474	0.2101126832
475	0.2100343315
476	0.2099576352
477	0.2098847478
478	0.2098044662
479	0.2097869383
480	0.2097329175
481	0.2096877751
482	0.209618503
483	0.2095299671
484	0.2095089729
485	0.2094519828
486	0.2094116141
487	0.2093051259
488	0.2092963036
489	0.2092283365
490	0.2091755893
491	0.2090846399
492	0.2090236573
493	0.2089865437
494	0.208956384
495	0.208833049
496	0.2087474015
